id,c_reg,c_raj,name,name_raj,c_sti
data_ti_sprsti_609,19,14,БУЧАЦЬКА ОДПI ГУ ДФС (ТЕРЕБОВЛЯНСЬКЕ ВIДДIЛЕННЯ),ТЕРЕБОВЛЯНСЬКИЙ Р-Н,1914
data_ti_sprsti_610,19,15,ТЕРНОПIЛЬСЬКА ОДПI ГУ ДФС (ТЕРНОПIЛЬСЬКИЙ РАЙОН),ТЕРНОПIЛЬСЬКИЙ РАЙОН,1915
data_ti_sprsti_611,19,16,ЧОРТКIВСЬКА ОДПI ГУ ДФС У ТЕРНОПIЛЬСЬКIЙ ОБЛАСТI,ЧОРТКIВСЬКИЙ Р-Н,1916
data_ti_sprsti_612,19,17,КРЕМЕНЕЦЬКА ОДПI ГУ ДФС (ШУМСЬКЕ ВIДДIЛЕННЯ),ШУМСЬКИЙ Р-Н,1917
data_ti_sprsti_613,19,18,ТЕРНОПIЛЬСЬКА ОДПI ГУ ДФС У ТЕРНОПIЛЬСЬКIЙ ОБЛАСТI,М.ТЕРНОПIЛЬ,1918
data_ti_sprsti_614,19,19,ЧОРТКIВСЬКА ОДПI ГУ ДФС (М.ЧОРТКIВ),М.ЧОРТКIВ,1919
data_ti_sprsti_615,19,20,КРЕМЕНЕЦЬКА ОДПI ГУ ДФС (М.КРЕМЕНЕЦЬ),М.КРЕМЕНЕЦЬ,1920
data_ti_sprsti_616,19,21,БУЧАЦЬКА ОДПI ГУ ДФС (М.БЕРЕЖАНИ),М.БЕРЕЖАНИ,1921
data_ti_sprsti_617,20,1,IЗЮМСЬКА ОДПI ГУ ДФС (БАЛАКЛIЙСЬКЕ ВIДДIЛЕННЯ),БАЛАКЛIЙСЬКИЙ Р-Н,2001
data_ti_sprsti_618,20,2,IЗЮМСЬКА ОДПI ГУ ДФС (БАРВIНКIВСЬКЕ ВIДДIЛЕННЯ),БАРВIНКIВСЬКИЙ Р-Н,2002
data_ti_sprsti_619,20,3,ЛОЗIВСЬКА ОДПI ГУ ДФС (БЛИЗНЮКIВСЬКИЙ Р-Н),БЛИЗНЮКIВСЬКИЙ Р-Н,2003
data_ti_sprsti_620,20,4,СЛОБОЖАНСЬКА ОДПI ГУ ДФС (БОГОДУХIВСЬКЕ ВIД-НЯ),БОГОДУХIВСЬКИЙ Р-Н,2004
data_ti_sprsti_621,20,5,IЗЮМСЬКА ОДПI ГУ ДФС (БОРIВСЬКЕ ВIДIДДIЛЕННЯ),БОРIВСЬКИЙ Р-Н,2005
data_ti_sprsti_622,20,6,ПIВДЕННА ОДПI ГУ ДФС У ХАРКIВ.ОБЛ.(ВАЛКIВСЬКЕ ВIД-НЯ),ВАЛКIВСЬКИЙ Р-Н,2006
data_ti_sprsti_623,20,7,САЛТIВСЬКА ОДПI ГУ ДФС (ВЕЛИКОБУРЛУЦЬКИЙ Р-Н),ВЕЛИКОБУРЛУЦЬКИЙ Р-Н,2007
data_ti_sprsti_624,20,8,САЛТIВСЬКА ОДПI ГУ ДФС (ВОВЧАНСЬКЕ ВIД-НЯ),ВОВЧАНСЬКИЙ Р-Н,2008
data_ti_sprsti_625,20,9,ХАРКIВСЬКА ОДПI ГУ ДФС У Х/О (ЗМIЇВСЬКЕ ВIД-НЯ),ЗМIЇВСЬКИЙ Р-Н,2009
data_ti_sprsti_626,20,10,САЛТIВСЬКА ОДПI ГУ ДФС (ДВОРIЧАНСЬКИЙ Р-Н),ДВОРIЧАНСЬКИЙ Р-Н,2010
data_ti_sprsti_627,20,11,СЛОБОЖАНСЬКА ОДПI ГУ ДФС У ХАРКIВСЬКIЙ ОБЛАСТI,ДЕРГАЧIВСЬКИЙ Р-Н,2011
data_ti_sprsti_628,20,12,ПIВДЕННА ОДПI ГУ ДФС У ХАРКIВ.ОБЛ.(ЗАЧЕПИЛIВСЬКИЙ Р-Н),ЗАЧЕПИЛIВСЬКИЙ Р-Н,2012
data_ti_sprsti_629,20,13,СЛОБОЖАНСЬКА ОДПI ГУ ДФС (ЗОЛОЧIВСЬКИЙ Р-Н),ЗОЛОЧIВСЬКИЙ Р-Н,2013
data_ti_sprsti_630,20,14,IЗЮМСЬКА ОДПI ГУ ДФС У ХАРКIВСЬКIЙ ОБЛАСТI,IЗЮМСЬКИЙ Р-Н,2014
