"id","parent_id/id","main_name","name","description","excise_code"
"l10n_ua_product_classification.product_classification_79608","l10n_ua_product_classification.product_classification_79606","","0106110090","інші",""
"l10n_ua_product_classification.product_classification_79609","l10n_ua_product_classification.product_classification_79605","","01061200","кити,  дельфіни,  морські  свині  (ссавці  ряду  Сetacea);  ламантини  та  дюгони  (ссавці  ряду  Sіrenіa);  тюлені,  морські  леви  та  моржі  (ссавці  підряду  Pіnnіpedіa):",""
"l10n_ua_product_classification.product_classification_79610","l10n_ua_product_classification.product_classification_79609","","0106120010","для  зоопарків",""
"l10n_ua_product_classification.product_classification_79611","l10n_ua_product_classification.product_classification_79609","","0106120090","інші",""
"l10n_ua_product_classification.product_classification_79612","l10n_ua_product_classification.product_classification_79605","","0106130000","верблюди  та  інші  тварини  родини  верблюдячих  (Camelіdae)",""
"l10n_ua_product_classification.product_classification_79613","l10n_ua_product_classification.product_classification_79605","","010614","кролі  та  зайці:",""
"l10n_ua_product_classification.product_classification_79614","l10n_ua_product_classification.product_classification_79613","","0106141000","кролі  свійські",""
"l10n_ua_product_classification.product_classification_79615","l10n_ua_product_classification.product_classification_79613","","0106149000","інші",""
"l10n_ua_product_classification.product_classification_79616","l10n_ua_product_classification.product_classification_79605","","01061900","інші:",""
"l10n_ua_product_classification.product_classification_79617","l10n_ua_product_classification.product_classification_79616","","0106190010","для  зоопарків",""
"l10n_ua_product_classification.product_classification_79618","l10n_ua_product_classification.product_classification_79616","","0106190090","інші",""
"l10n_ua_product_classification.product_classification_79619","l10n_ua_product_classification.product_classification_79604","","","птахи:",""
"l10n_ua_product_classification.product_classification_79620","l10n_ua_product_classification.product_classification_79619","","01063100","хижі  птахи:",""
"l10n_ua_product_classification.product_classification_79621","l10n_ua_product_classification.product_classification_79620","","0106310010","для  зоопарків",""
"l10n_ua_product_classification.product_classification_79622","l10n_ua_product_classification.product_classification_79620","","0106310090","інші",""
"l10n_ua_product_classification.product_classification_79623","l10n_ua_product_classification.product_classification_79619","","01063200","папугоподібні  (включаючи  папуг,  довгохвостих  папуг,  ара  та  какаду):",""
"l10n_ua_product_classification.product_classification_79624","l10n_ua_product_classification.product_classification_79623","","0106320010","для  зоопарків",""
"l10n_ua_product_classification.product_classification_79625","l10n_ua_product_classification.product_classification_79623","","0106320090","інші",""
"l10n_ua_product_classification.product_classification_79626","l10n_ua_product_classification.product_classification_79619","","01063300","страуси;  ему  (Dromaіus  novaehollandіae):",""
"l10n_ua_product_classification.product_classification_79627","l10n_ua_product_classification.product_classification_79626","","0106330010","для  зоопарків",""
"l10n_ua_product_classification.product_classification_79628","l10n_ua_product_classification.product_classification_79626","","0106330090","інші",""
"l10n_ua_product_classification.product_classification_79629","l10n_ua_product_classification.product_classification_79619","","010639","інші:",""
"l10n_ua_product_classification.product_classification_79630","l10n_ua_product_classification.product_classification_79629","","01063910","голуби:",""
"l10n_ua_product_classification.product_classification_79631","l10n_ua_product_classification.product_classification_79630","","0106391010","для  зоопарків",""
"l10n_ua_product_classification.product_classification_79632","l10n_ua_product_classification.product_classification_79630","","0106391090","інші",""
"l10n_ua_product_classification.product_classification_79633","l10n_ua_product_classification.product_classification_79629","","01063980","інші:",""
"l10n_ua_product_classification.product_classification_79634","l10n_ua_product_classification.product_classification_79633","","0106398010","для  зоопарків",""
"l10n_ua_product_classification.product_classification_79635","l10n_ua_product_classification.product_classification_79633","","0106398090","інші",""
"l10n_ua_product_classification.product_classification_79636","l10n_ua_product_classification.product_classification_79604","","","комахи:",""
"l10n_ua_product_classification.product_classification_79637","l10n_ua_product_classification.product_classification_79636","","0106410000","бджоли",""
"l10n_ua_product_classification.product_classification_79638","l10n_ua_product_classification.product_classification_79636","","01064900","інші:",""
"l10n_ua_product_classification.product_classification_79639","l10n_ua_product_classification.product_classification_79636","","0106490010","для  зоопарків",""
"l10n_ua_product_classification.product_classification_79640","l10n_ua_product_classification.product_classification_79636","","0106490090","інші",""
"l10n_ua_product_classification.product_classification_79641","l10n_ua_product_classification.product_classification_79604","","01062000","рептилії  (включаючи  змій  і  черепах):",""
"l10n_ua_product_classification.product_classification_79642","l10n_ua_product_classification.product_classification_79641","","0106200010","для  зоопарків",""
"l10n_ua_product_classification.product_classification_79643","l10n_ua_product_classification.product_classification_79641","","0106200090","інші",""
